SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
21,2016,09,16,55418069,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
22,2016,09,16,55418188,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
23,2016,09,16,55420071,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
24,2016,09,16,55424320,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
25,2016,09,16,55424321,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
26,2016,09,16,55424570,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
27,2016,09,16,55424571,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
28,2016,09,16,55424820,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
29,2016,09,16,55424821,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
30,2016,09,16,55426570,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
31,2016,09,16,55426571,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
32,2016,09,16,55426820,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
33,2016,09,16,55426821,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
34,2016,09,16,55428567,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
35,2016,09,16,55428568,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
36,2016,09,16,55429067,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
37,2016,09,16,55429067,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
38,2016,09,16,55429068,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
39,2016,09,16,55429068,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
40,2016,09,16,55429567,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
41,2016,09,16,55429568,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
42,2016,09,16,55430071,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
43,2016,09,16,55432343,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
44,2016,09,16,55433070,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
45,2016,09,16,55436818,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
46,2016,09,16,55437071,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
47,2016,09,16,55445830,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
48,2016,09,16,55447072,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
49,2016,09,16,55447668,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
50,2016,09,16,55448072,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
51,2016,09,16,55449047,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
52,2016,09,16,55453073,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
53,2016,09,16,55454880,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
54,2016,09,16,55455074,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
55,2016,09,16,55456815,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
56,2016,09,16,55457366,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
57,2016,09,16,55460081,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
58,2016,09,16,55462720,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
59,2016,09,16,55464762,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
60,2016,09,16,55464906,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
61,2016,09,16,55466418,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
