SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
17,2016,09,26,51688062,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
18,2016,09,26,51690059,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
19,2016,09,26,51693063,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
20,2016,09,26,51693064,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
21,2016,09,26,51694060,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
22,2016,09,26,51697065,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
23,2016,09,26,51698065,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
24,2016,09,26,51702064,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
25,2016,09,26,51706064,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
26,2016,09,26,51707065,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
27,2016,09,26,51708065,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
28,2016,09,26,51712067,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
29,2016,09,26,51716067,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
30,2016,09,26,51719069,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
31,2016,09,26,51720067,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
32,2016,09,26,51729595,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
33,2016,09,26,51731070,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
34,2016,09,26,51731182,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
35,2016,09,26,51732070,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
36,2016,09,26,51733462,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
37,2016,09,26,51738072,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
38,2016,09,26,51739920,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
39,2016,09,26,51740071,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
40,2016,09,26,51740843,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
41,2016,09,26,51744072,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
42,2016,09,26,51745032,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
43,2016,09,26,51745072,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
44,2016,09,26,51757207,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
45,2016,09,26,51758075,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
46,2016,09,26,51758599,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
47,2016,09,26,51759075,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
48,2016,09,26,51765597,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
49,2016,09,26,51766075,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
50,2016,09,26,51766951,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
51,2016,09,26,51767075,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
52,2016,09,26,51771668,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
53,2016,09,26,51772076,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
54,2016,09,26,51781204,64,System,Button,0,Button Press Event detected.
55,2016,09,26,51782014,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
56,2016,09,26,51782078,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
57,2016,09,26,51783407,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
58,2016,09,26,51784079,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
59,2016,09,26,51787084,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
60,2016,09,26,51791079,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
61,2016,09,26,51791080,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
62,2016,09,26,51791939,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
63,2016,09,26,51793104,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
64,2016,09,26,51794080,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
65,2016,09,26,51796081,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
66,2016,09,26,51799081,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
67,2016,09,26,51803084,4416,Physiological,DashTestAlgorithm,0,Dash Event. Peak Activity 390mg
68,2016,09,26,51806086,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
69,2016,09,26,51807083,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
70,2016,09,26,51807084,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
71,2016,09,26,51808084,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
72,2016,09,26,51810085,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
73,2016,09,26,51811084,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
74,2016,09,26,51815092,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
75,2016,09,26,51818092,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
76,2016,09,26,51821087,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
77,2016,09,26,51822087,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
78,2016,09,26,51828089,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
79,2016,09,26,51830088,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
80,2016,09,26,51834091,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
81,2016,09,26,51835088,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
82,2016,09,26,51835956,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
83,2016,09,26,51836088,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
84,2016,09,26,51836220,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
85,2016,09,26,51837062,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
86,2016,09,26,51838089,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
87,2016,09,26,51839088,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
88,2016,09,26,51840090,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
89,2016,09,26,51841093,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
90,2016,09,26,51844180,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
91,2016,09,26,51844420,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
92,2016,09,26,51848093,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
93,2016,09,26,51850092,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
94,2016,09,26,51859095,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
95,2016,09,26,51860093,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
96,2016,09,26,51860094,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
97,2016,09,26,51861093,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
98,2016,09,26,51868094,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
99,2016,09,26,51869093,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
