SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
14,2016,09,16,57925076,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
15,2016,09,16,57925076,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
16,2016,09,16,57925077,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
17,2016,09,16,57927078,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
18,2016,09,16,57946689,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
19,2016,09,16,57947081,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
20,2016,09,16,57947082,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
21,2016,09,16,57947581,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
22,2016,09,16,57947582,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
23,2016,09,16,57953083,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
24,2016,09,16,57957083,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
25,2016,09,16,57964086,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
26,2016,09,16,57972085,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
27,2016,09,16,57991086,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
28,2016,09,16,58000088,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
29,2016,09,16,58012594,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
30,2016,09,16,58012595,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
31,2016,09,16,58013092,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
32,2016,09,16,58013092,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
33,2016,09,16,58013093,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
34,2016,09,16,58013093,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
35,2016,09,16,58013592,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
36,2016,09,16,58013593,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
37,2016,09,16,58014092,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
38,2016,09,16,58014093,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
39,2016,09,16,58028096,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
